aX,aY,aZ
-62.5,-187.4,1140.0
-140.5,31.2,921.3
109.3,93.7,1015.0
203.0,-31.2,905.7
187.4,78.1,983.8
-31.2,-124.9,968.2
-124.9,-78.1,1155.6
-93.7,234.2,890.1
0.0,-31.2,952.6
124.9,-31.2,843.3
187.4,31.2,968.2
156.2,-187.4,1015.0
-31.2,0.0,1015.0
-218.6,-109.3,999.4
-31.2,0.0,952.6
140.5,156.2,937.0
203.0,-187.4,968.2
156.2,-124.9,1030.7
-62.5,-46.8,999.4
-124.9,-93.7,1124.4
-171.8,62.5,968.2
93.7,109.3,1046.3
249.9,-109.3,905.7
171.8,109.3,1015.0
-78.1,-140.5,983.8
-93.7,-109.3,1108.7
-109.3,109.3,890.1
31.2,109.3,1030.7
109.3,-140.5,874.5
203.0,46.8,968.2
-31.2,-124.9,952.6
-62.5,-124.9,1077.5
-124.9,109.3,937.0
15.6,-46.8,1015.0
93.7,-62.5,890.1
156.2,31.2,1093.1
203.0,-140.5,968.2
-15.6,93.7,874.5
-234.2,-15.6,983.8
-15.6,78.1,952.6
156.2,46.8,921.3
171.8,-62.5,952.6
140.5,-140.5,1077.5
-109.3,15.6,952.6
-171.8,-109.3,1077.5
-124.9,62.5,1061.9
109.3,124.9,1061.9
249.9,-140.5,905.7
156.2,93.7,1061.9
0.0,-46.8,999.4
-93.7,-124.9,1093.1
-109.3,203.0,952.6
31.2,46.8,1046.3
171.8,-78.1,874.5
187.4,124.9,921.3
31.2,-124.9,999.4
-62.5,-31.2,905.7
-171.8,46.8,983.8
0.0,78.1,1015.0
124.9,31.2,921.3
203.0,-109.3,905.7
124.9,-203.0,1030.7
0.0,78.1,983.8
-218.6,-171.8,1140.0
-109.3,78.1,858.9
78.1,171.8,999.4
249.9,-78.1,937.0
203.0,156.2,1015.0
-109.3,-171.8,952.6
-62.5,-124.9,1233.7
-156.2,171.8,952.6
0.0,62.5,999.4
93.7,-93.7,858.9
187.4,93.7,1030.7
156.2,-156.2,1046.3
-62.5,31.2,999.4
-234.2,-15.6,968.2
46.8,-31.2,952.6
78.1,203.0,921.3
187.4,-187.4,999.4
156.2,-187.4,1061.9
-15.6,109.3,968.2
-218.6,-124.9,921.3
-109.3,0.0,1030.7
62.5,140.5,952.6
249.9,-78.1,890.1
171.8,-62.5,1061.9
-124.9,-156.2,999.4
-78.1,-140.5,1077.5
-93.7,140.5,937.0
-15.6,93.7,1015.0
218.6,-46.8,890.1
218.6,109.3,983.8
-31.2,-156.2,952.6
-124.9,-93.7,1077.5
-140.5,265.5,937.0
0.0,-31.2,999.4
93.7,-62.5,812.0
140.5,15.6,999.4
171.8,-171.8,968.2
-15.6,78.1,968.2
-218.6,-124.9,937.0
-46.8,0.0,1015.0
93.7,187.4,921.3
187.4,-62.5,937.0
187.4,-109.3,1030.7
-109.3,-46.8,952.6
-124.9,-124.9,1093.1
-171.8,78.1,921.3
15.6,109.3,1093.1
234.2,-140.5,874.5
124.9,109.3,1015.0
-62.5,-124.9,952.6
-78.1,-124.9,1108.7
-93.7,249.9,905.7
15.6,78.1,999.4
171.8,-109.3,952.6
218.6,156.2,1046.3
62.5,-156.2,1046.3
-78.1,-15.6,1124.4
-78.1,124.9,968.2
46.8,-62.5,921.3
31.2,109.3,937.0
124.9,-156.2,1093.1
234.2,-171.8,1030.7
-46.8,78.1,1030.7
-234.2,-46.8,1015.0
0.0,0.0,921.3
109.3,109.3,890.1
265.5,-62.5,968.2
124.9,15.6,999.4
-93.7,-46.8,937.0
-62.5,-140.5,1186.8
-156.2,203.0,937.0
-15.6,15.6,983.8
156.2,-109.3,874.5
187.4,140.5,968.2
15.6,-140.5,983.8
-78.1,-31.2,999.4
-140.5,109.3,999.4
15.6,0.0,1030.7
109.3,203.0,937.0
156.2,-124.9,952.6
140.5,-171.8,999.4
-15.6,46.8,1030.7
-234.2,-78.1,1030.7
-124.9,-93.7,968.2
93.7,140.5,890.1
187.4,-109.3,952.6
140.5,-187.4,1030.7
-78.1,-93.7,999.4
-187.4,-171.8,1108.7
-78.1,46.8,890.1
62.5,62.5,968.2
171.8,0.0,905.7
187.4,124.9,968.2
0.0,-156.2,937.0
-62.5,-78.1,1015.0
-171.8,109.3,983.8
-15.6,-46.8,952.6
78.1,-15.6,921.3
140.5,-78.1,1077.5
156.2,-156.2,1015.0
0.0,46.8,1124.4
-218.6,-140.5,1015.0
-78.1,15.6,1061.9
140.5,78.1,921.3
234.2,-124.9,874.5
124.9,-109.3,1061.9
-31.2,-15.6,1077.5
-203.0,-124.9,1155.6
-62.5,-31.2,952.6
78.1,109.3,905.7
171.8,-93.7,937.0
171.8,171.8,1015.0
-93.7,-171.8,983.8
-109.3,-124.9,1093.1
-124.9,124.9,921.3
15.6,109.3,1061.9
218.6,-62.5,858.9
203.0,46.8,1015.0
-15.6,-124.9,921.3
-15.6,-124.9,1077.5
-140.5,249.9,890.1
0.0,-46.8,983.8
109.3,-62.5,874.5
140.5,0.0,983.8
156.2,-171.8,1061.9
-15.6,124.9,983.8
-218.6,-62.5,968.2
-62.5,46.8,999.4
140.5,78.1,890.1
171.8,-46.8,937.0
171.8,-171.8,1093.1
-109.3,0.0,952.6
-156.2,-156.2,1077.5
-140.5,93.7,874.5
15.6,124.9,1030.7
249.9,-140.5,890.1
218.6,93.7,968.2
-78.1,-234.2,921.3
-109.3,-124.9,1108.7
-140.5,187.4,937.0
15.6,15.6,968.2
124.9,31.2,812.0
171.8,0.0,952.6
187.4,-156.2,1015.0
-62.5,46.8,921.3
-249.9,78.1,983.8
-31.2,-124.9,1061.9
109.3,140.5,921.3
218.6,-140.5,968.2
140.5,-140.5,999.4
-46.8,62.5,1046.3
-156.2,-187.4,1093.1
-93.7,0.0,983.8
31.2,31.2,999.4
281.1,-31.2,890.1
203.0,-46.8,1030.7
-93.7,-93.7,952.6
-78.1,-187.4,1124.4
-93.7,218.6,921.3
31.2,-62.5,1015.0
62.5,-109.3,858.9
171.8,93.7,983.8
187.4,-187.4,1046.3
-62.5,-15.6,937.0
-171.8,-15.6,983.8
62.5,31.2,999.4
109.3,171.8,937.0
156.2,-78.1,983.8
156.2,-171.8,1015.0
0.0,62.5,1015.0
-203.0,-109.3,999.4
-140.5,-31.2,890.1
46.8,124.9,937.0
249.9,-124.9,952.6
124.9,0.0,999.4
-156.2,-187.4,952.6
15.6,-109.3,1093.1
-62.5,171.8,1030.7
0.0,46.8,1046.3
109.3,-109.3,921.3
156.2,78.1,983.8
156.2,-93.7,1015.0
-62.5,-31.2,983.8
-171.8,140.5,999.4
78.1,-78.1,1015.0
78.1,187.4,890.1
171.8,-15.6,1030.7
156.2,-171.8,999.4
-31.2,140.5,968.2
-234.2,-187.4,999.4
-46.8,62.5,1015.0
124.9,109.3,921.3
203.0,31.2,999.4
156.2,-109.3,1046.3
-124.9,-78.1,1030.7
-109.3,-78.1,1171.2
-156.2,46.8,952.6
140.5,124.9,1061.9
234.2,-93.7,937.0
156.2,124.9,983.8
-46.8,-62.5,983.8
-78.1,-109.3,1093.1
-93.7,281.1,890.1
15.6,15.6,937.0
156.2,-78.1,843.3
156.2,78.1,999.4
15.6,-124.9,1015.0
-31.2,-62.5,937.0
-187.4,93.7,968.2
-31.2,-78.1,1015.0
124.9,203.0,921.3
171.8,-109.3,968.2
124.9,-187.4,1046.3
-15.6,109.3,1061.9
-265.5,-218.6,905.7
31.2,0.0,983.8
109.3,62.5,1030.7
265.5,-62.5,921.3
156.2,15.6,983.8
-78.1,-93.7,921.3
-46.8,-140.5,1124.4
-140.5,171.8,952.6
-15.6,62.5,1030.7
156.2,-93.7,968.2
187.4,140.5,968.2
0.0,-156.2,952.6
-46.8,-15.6,968.2
-156.2,62.5,937.0
15.6,-15.6,999.4
156.2,171.8,937.0
218.6,-124.9,952.6
156.2,-124.9,983.8
-31.2,46.8,968.2
-203.0,-124.9,983.8
-93.7,62.5,1030.7
78.1,109.3,999.4
234.2,-78.1,905.7
156.2,15.6,1030.7
-109.3,-187.4,937.0
-62.5,-140.5,1171.2
-124.9,156.2,937.0
15.6,93.7,1030.7
187.4,-31.2,890.1
187.4,109.3,999.4
0.0,-140.5,905.7
-78.1,-78.1,1030.7
-171.8,93.7,937.0
31.2,-46.8,937.0
93.7,140.5,843.3
187.4,-15.6,952.6
140.5,-187.4,1077.5
-46.8,78.1,952.6
-218.6,-171.8,999.4
-78.1,46.8,1077.5
140.5,156.2,1046.3
218.6,-171.8,937.0
140.5,-78.1,1030.7
-62.5,-62.5,952.6
-78.1,-78.1,1140.0
-140.5,109.3,1030.7
62.5,78.1,1030.7
218.6,-62.5,890.1
171.8,140.5,1030.7
-46.8,-124.9,952.6
-109.3,-93.7,1124.4
-93.7,218.6,905.7
0.0,-15.6,999.4
109.3,0.0,858.9
171.8,-62.5,999.4
203.0,-124.9,1030.7
-31.2,-46.8,937.0
-203.0,46.8,952.6
-78.1,-78.1,983.8
140.5,171.8,952.6
218.6,-203.0,874.5
140.5,-140.5,1046.3
-15.6,-46.8,1046.3
-249.9,-171.8,1124.4
-31.2,15.6,1015.0
124.9,124.9,952.6
234.2,-62.5,968.2
156.2,-109.3,1030.7
-93.7,-15.6,1015.0
-140.5,-140.5,1155.6
-171.8,62.5,1030.7
140.5,93.7,1030.7
249.9,-140.5,874.5
140.5,62.5,1030.7
-78.1,-124.9,968.2
-46.8,-109.3,1171.2
-109.3,203.0,827.6
46.8,62.5,1015.0
156.2,-109.3,874.5
187.4,140.5,968.2
31.2,-93.7,952.6
-93.7,-78.1,968.2
-203.0,218.6,968.2
15.6,-62.5,1015.0
78.1,31.2,968.2
124.9,-93.7,952.6
156.2,-171.8,1046.3
15.6,93.7,1030.7
-265.5,-218.6,999.4
-78.1,-15.6,1030.7
140.5,78.1,999.4
187.4,-93.7,983.8
156.2,-31.2,1030.7
-109.3,-62.5,952.6
-62.5,-93.7,1093.1
-156.2,140.5,843.3
31.2,93.7,999.4
171.8,-140.5,968.2
203.0,171.8,999.4
-15.6,-140.5,999.4
-78.1,-62.5,1108.7
-109.3,249.9,905.7
15.6,-46.8,937.0
78.1,-46.8,890.1
124.9,15.6,1015.0
156.2,-124.9,1030.7
-78.1,-31.2,1046.3
-249.9,124.9,937.0
62.5,-78.1,952.6
140.5,156.2,890.1
171.8,-187.4,1061.9
156.2,-187.4,952.6
-15.6,140.5,952.6
-218.6,-203.0,952.6
-62.5,46.8,952.6
78.1,124.9,905.7
203.0,0.0,905.7
187.4,62.5,1046.3
-46.8,-93.7,937.0
-78.1,-93.7,1171.2
-93.7,234.2,937.0
0.0,15.6,937.0
78.1,-93.7,952.6
187.4,15.6,1124.4
156.2,-187.4,1015.0
-31.2,140.5,1061.9
-203.0,-31.2,999.4
-31.2,0.0,999.4
156.2,109.3,890.1
187.4,-124.9,952.6
140.5,-171.8,1061.9
-31.2,-31.2,968.2
-140.5,-109.3,1108.7
-140.5,-78.1,1015.0
93.7,187.4,921.3
171.8,-124.9,968.2
171.8,-93.7,1015.0
-109.3,-124.9,1015.0
-218.6,-140.5,1077.5
-124.9,109.3,921.3
140.5,46.8,999.4
249.9,31.2,905.7
203.0,46.8,1030.7
-93.7,-140.5,905.7
-78.1,-156.2,1140.0
-109.3,171.8,968.2
-15.6,62.5,1077.5
156.2,-124.9,905.7
218.6,171.8,952.6
15.6,-171.8,983.8
-78.1,-31.2,952.6
-156.2,171.8,983.8
31.2,0.0,983.8
156.2,93.7,1015.0
203.0,-93.7,921.3
140.5,-203.0,1046.3
-15.6,31.2,1061.9
-218.6,-93.7,1046.3
-93.7,-109.3,999.4
93.7,140.5,874.5
234.2,-187.4,983.8
140.5,46.8,1046.3
-46.8,-124.9,952.6
-78.1,-124.9,1093.1
-124.9,62.5,874.5
62.5,156.2,1015.0
171.8,-31.2,952.6
171.8,140.5,1030.7
-93.7,-93.7,905.7
-78.1,-124.9,1186.8
-140.5,281.1,968.2
0.0,-93.7,952.6
109.3,0.0,843.3
124.9,-93.7,1061.9
109.3,-93.7,968.2
31.2,62.5,1061.9
-249.9,-109.3,999.4
-78.1,31.2,952.6
171.8,109.3,905.7
218.6,-140.5,937.0
124.9,-93.7,1077.5
-15.6,-93.7,983.8
-62.5,-140.5,1093.1
-171.8,-31.2,937.0
109.3,140.5,999.4
234.2,-78.1,921.3
156.2,109.3,1046.3
-109.3,-109.3,952.6
-109.3,-109.3,1093.1
-156.2,78.1,921.3
0.0,78.1,1061.9
124.9,-124.9,1015.0
218.6,124.9,1015.0
-62.5,-140.5,983.8
-109.3,-140.5,1077.5
-140.5,234.2,890.1
15.6,0.0,952.6
62.5,-62.5,796.4
187.4,15.6,1140.0
187.4,-171.8,1015.0
-15.6,109.3,937.0
-218.6,31.2,937.0
-31.2,-46.8,1030.7
187.4,156.2,952.6
187.4,-187.4,905.7
124.9,-93.7,1046.3
-15.6,-31.2,1061.9
-249.9,-171.8,1030.7
-46.8,15.6,983.8
93.7,62.5,890.1
249.9,-78.1,937.0
124.9,46.8,1030.7
-93.7,-93.7,1030.7
-78.1,-156.2,1140.0
-93.7,187.4,858.9
46.8,124.9,983.8
140.5,-124.9,890.1
156.2,156.2,905.7
15.6,-109.3,968.2
-31.2,-46.8,921.3
-203.0,78.1,952.6
-15.6,-31.2,952.6
140.5,15.6,921.3
140.5,-124.9,952.6
124.9,-140.5,968.2
0.0,93.7,1030.7
-203.0,-156.2,983.8
-109.3,93.7,968.2
140.5,46.8,1015.0
249.9,-93.7,905.7
140.5,-109.3,1061.9
-93.7,-62.5,968.2
-46.8,-156.2,1155.6
-156.2,109.3,937.0
62.5,171.8,1030.7
171.8,-78.1,999.4
171.8,171.8,1015.0
15.6,-171.8,952.6
-93.7,-93.7,1077.5
-62.5,265.5,983.8
15.6,-78.1,937.0
109.3,-46.8,858.9
124.9,93.7,1015.0
109.3,-109.3,983.8
-15.6,31.2,1046.3
-249.9,-31.2,968.2
78.1,-46.8,1046.3
140.5,124.9,983.8
234.2,-171.8,1030.7
156.2,-171.8,1046.3
0.0,109.3,1061.9
-187.4,-187.4,921.3
-93.7,62.5,921.3
109.3,46.8,905.7
234.2,46.8,937.0
203.0,0.0,1140.0
-31.2,-78.1,968.2
-124.9,-140.5,1030.7
-124.9,203.0,874.5
15.6,46.8,968.2
109.3,-62.5,874.5
171.8,171.8,968.2
93.7,-140.5,1093.1
-62.5,0.0,1015.0
-234.2,15.6,983.8
-62.5,-46.8,999.4
156.2,171.8,921.3
171.8,-187.4,905.7
109.3,-156.2,1093.1
0.0,-15.6,999.4
-156.2,-124.9,1093.1
-140.5,-62.5,999.4
109.3,93.7,921.3
249.9,-109.3,937.0
171.8,124.9,1061.9
-78.1,-124.9,983.8
-78.1,-78.1,1108.7
-93.7,171.8,921.3
15.6,171.8,968.2
124.9,-156.2,905.7
203.0,124.9,968.2
31.2,-124.9,999.4
-93.7,-93.7,1030.7
-109.3,156.2,952.6
31.2,-15.6,921.3
62.5,31.2,905.7
124.9,-109.3,1077.5
171.8,-171.8,1046.3
-46.8,93.7,1030.7
-249.9,124.9,983.8
-15.6,-124.9,983.8
171.8,156.2,968.2
203.0,-109.3,937.0
109.3,-140.5,1015.0
-31.2,78.1,999.4
-171.8,-156.2,1015.0
-124.9,109.3,1061.9
109.3,93.7,921.3
265.5,-140.5,905.7
156.2,0.0,1030.7
-109.3,-109.3,937.0
-62.5,-93.7,1155.6
-124.9,171.8,937.0
46.8,78.1,1077.5
156.2,-62.5,905.7
249.9,109.3,999.4
15.6,-62.5,937.0
-78.1,-109.3,952.6
-171.8,171.8,874.5
15.6,46.8,968.2
124.9,-46.8,905.7
93.7,-62.5,952.6
124.9,-140.5,968.2
31.2,46.8,1061.9
-218.6,-109.3,968.2
-109.3,15.6,1015.0
187.4,140.5,1015.0
171.8,-203.0,890.1
124.9,-140.5,1030.7
-46.8,-109.3,1077.5
-218.6,-140.5,983.8
-62.5,78.1,890.1
78.1,124.9,968.2
249.9,-46.8,905.7
203.0,-62.5,1030.7
-140.5,-156.2,952.6
-62.5,-124.9,1155.6
-156.2,109.3,952.6
-15.6,109.3,983.8
218.6,-109.3,952.6
171.8,124.9,1015.0
-31.2,-140.5,999.4
-109.3,-46.8,1108.7
-62.5,234.2,937.0
15.6,46.8,921.3
124.9,-93.7,858.9
124.9,78.1,1015.0
109.3,-109.3,1046.3
-78.1,0.0,1061.9
-249.9,-31.2,999.4
109.3,-62.5,1046.3
156.2,140.5,968.2
171.8,-187.4,1015.0
171.8,-156.2,1124.4
-31.2,78.1,999.4
-234.2,-156.2,905.7
-62.5,62.5,983.8
93.7,78.1,905.7
234.2,-46.8,874.5
171.8,93.7,1061.9
-109.3,-93.7,968.2
-93.7,-124.9,1077.5
-124.9,234.2,968.2
31.2,0.0,983.8
140.5,-46.8,905.7
140.5,156.2,999.4
93.7,-156.2,999.4
-62.5,31.2,983.8
-249.9,0.0,1061.9
-46.8,-62.5,968.2
156.2,140.5,1015.0
171.8,-171.8,952.6
124.9,-156.2,1077.5
-31.2,109.3,1046.3
-234.2,-124.9,968.2
-31.2,-31.2,983.8
109.3,140.5,874.5
203.0,-109.3,905.7
124.9,-93.7,999.4
-93.7,-93.7,1077.5
-171.8,-93.7,1108.7
-124.9,93.7,874.5
31.2,31.2,1046.3
265.5,-31.2,921.3
218.6,78.1,983.8
-46.8,-93.7,890.1
-62.5,-93.7,1171.2
-78.1,156.2,968.2
31.2,15.6,983.8
109.3,62.5,968.2
140.5,-109.3,1061.9
187.4,-218.6,1030.7
-31.2,109.3,1061.9
-265.5,93.7,1046.3
-15.6,-109.3,952.6
171.8,187.4,921.3
171.8,-156.2,921.3
124.9,-93.7,999.4
15.6,15.6,1015.0
-203.0,-93.7,1046.3
-124.9,78.1,968.2
46.8,31.2,1061.9
265.5,0.0,890.1
203.0,62.5,1061.9
-109.3,-93.7,905.7
-78.1,-171.8,1155.6
-93.7,187.4,921.3
15.6,62.5,1015.0
78.1,-46.8,952.6
124.9,93.7,1093.1
187.4,-156.2,1046.3
-15.6,78.1,999.4
-249.9,62.5,999.4
0.0,-62.5,1015.0
156.2,109.3,905.7
187.4,-171.8,921.3
124.9,-124.9,999.4
-31.2,-93.7,999.4
-156.2,-109.3,1124.4
-124.9,15.6,937.0
62.5,78.1,1015.0
265.5,-78.1,968.2
187.4,156.2,999.4
-124.9,-187.4,999.4
-78.1,-109.3,1124.4
-62.5,124.9,999.4
0.0,78.1,983.8
62.5,-109.3,874.5
140.5,78.1,1061.9
140.5,-109.3,999.4
-78.1,15.6,1093.1
-265.5,31.2,1015.0
15.6,-31.2,999.4
140.5,140.5,874.5
187.4,-171.8,1077.5
140.5,-218.6,1061.9
0.0,140.5,983.8
-187.4,-156.2,1140.0
-93.7,-15.6,921.3
93.7,156.2,952.6
234.2,-78.1,952.6
156.2,-31.2,1046.3
-140.5,-171.8,983.8
-62.5,-109.3,1124.4
-124.9,109.3,937.0
-15.6,93.7,1046.3
218.6,-31.2,983.8
218.6,62.5,1015.0
-62.5,-140.5,952.6
-93.7,-78.1,1077.5
-109.3,265.5,952.6
15.6,-46.8,1030.7
109.3,-78.1,858.9
171.8,203.0,1015.0
124.9,-187.4,1124.4
-109.3,15.6,968.2
-218.6,15.6,1030.7
62.5,15.6,983.8
156.2,156.2,952.6
187.4,-171.8,1077.5
203.0,-187.4,999.4
0.0,93.7,1046.3
-265.5,-93.7,1077.5
-156.2,-78.1,999.4
109.3,93.7,874.5
265.5,-93.7,905.7
140.5,109.3,1015.0
-62.5,-109.3,952.6
-62.5,-156.2,1140.0
-109.3,93.7,843.3
46.8,46.8,999.4
109.3,15.6,874.5
156.2,109.3,921.3
62.5,-124.9,968.2
-78.1,-31.2,968.2
-218.6,93.7,968.2
0.0,-62.5,937.0
187.4,156.2,952.6
203.0,-140.5,921.3
124.9,-93.7,937.0
0.0,31.2,983.8
-171.8,-140.5,1077.5
-93.7,93.7,827.6
31.2,62.5,1093.1
156.2,-62.5,858.9
203.0,140.5,1061.9
-109.3,-156.2,1030.7
-62.5,-156.2,1233.7
-140.5,187.4,983.8
46.8,78.1,1015.0
109.3,-109.3,827.6
156.2,171.8,952.6
46.8,-140.5,999.4
-46.8,-15.6,952.6
-203.0,62.5,1015.0
31.2,0.0,999.4
156.2,171.8,921.3
171.8,-124.9,952.6
124.9,-109.3,983.8
15.6,46.8,999.4
-218.6,-124.9,983.8
-109.3,78.1,890.1
62.5,93.7,1030.7
249.9,-78.1,858.9
171.8,-46.8,1061.9
-124.9,-93.7,968.2
-31.2,-156.2,1140.0
-156.2,140.5,937.0
0.0,93.7,1030.7
109.3,-124.9,890.1
187.4,78.1,1030.7
-15.6,-187.4,1015.0
-62.5,-15.6,983.8
-140.5,0.0,905.7
46.8,109.3,999.4
140.5,31.2,952.6
171.8,15.6,1030.7
171.8,-203.0,1108.7
-15.6,31.2,999.4
-218.6,-140.5,921.3
-62.5,-46.8,983.8
78.1,218.6,952.6
203.0,-62.5,937.0
203.0,-15.6,968.2
-109.3,-156.2,968.2
-109.3,-109.3,1093.1
-140.5,124.9,937.0
0.0,62.5,1015.0
203.0,-93.7,921.3
203.0,93.7,983.8
-31.2,-124.9,999.4
-78.1,-78.1,1046.3
-124.9,93.7,905.7
15.6,-46.8,1015.0
93.7,140.5,843.3
171.8,-15.6,968.2
187.4,-124.9,1015.0
-31.2,109.3,952.6
-218.6,-78.1,999.4
-62.5,62.5,999.4
140.5,46.8,999.4
203.0,15.6,952.6
171.8,-187.4,1093.1
-124.9,-46.8,983.8
-93.7,-187.4,1061.9
-109.3,78.1,921.3
31.2,156.2,1015.0
234.2,-124.9,983.8
156.2,109.3,1015.0
-31.2,-78.1,937.0
-124.9,-124.9,1077.5
-140.5,265.5,874.5
15.6,-15.6,937.0
140.5,-93.7,874.5
156.2,140.5,1015.0
46.8,-124.9,983.8
-109.3,15.6,937.0
-203.0,109.3,952.6
62.5,31.2,1015.0
140.5,15.6,968.2
124.9,-109.3,921.3
156.2,-234.2,1015.0
-15.6,62.5,1061.9
-234.2,-124.9,921.3
-31.2,-93.7,1108.7
124.9,187.4,921.3
187.4,-171.8,968.2
124.9,-62.5,1046.3
-62.5,0.0,983.8
-171.8,-124.9,1108.7
-109.3,109.3,921.3
31.2,109.3,1077.5
249.9,-78.1,905.7
203.0,46.8,1061.9
-93.7,-171.8,937.0
-62.5,-140.5,1108.7
-93.7,249.9,952.6
0.0,-62.5,983.8
93.7,46.8,952.6
156.2,78.1,1046.3
203.0,-140.5,1108.7
-62.5,62.5,1061.9
-234.2,-15.6,999.4
0.0,-46.8,968.2
109.3,171.8,874.5
218.6,-78.1,937.0
156.2,-156.2,1046.3
-78.1,-62.5,968.2
-203.0,-109.3,1124.4
-109.3,0.0,905.7
0.0,78.1,1015.0
156.2,-124.9,921.3
218.6,156.2,1046.3
-140.5,-171.8,983.8
-78.1,-156.2,1140.0
-62.5,203.0,937.0
15.6,-31.2,968.2
109.3,-62.5,874.5
171.8,15.6,1061.9
171.8,-78.1,1046.3
-62.5,-15.6,1030.7
-187.4,140.5,952.6
46.8,-31.2,999.4
93.7,140.5,937.0
171.8,-46.8,937.0
171.8,-140.5,1061.9
-31.2,124.9,983.8
-234.2,-187.4,983.8
-109.3,78.1,999.4
124.9,124.9,1015.0
187.4,-156.2,983.8
140.5,-62.5,1061.9
-46.8,-109.3,983.8
-78.1,-109.3,1124.4
-171.8,-15.6,905.7
109.3,62.5,921.3
218.6,-93.7,905.7
187.4,187.4,1124.4
-93.7,-156.2,1015.0
-78.1,-156.2,1124.4
-78.1,140.5,937.0
-15.6,-15.6,968.2
109.3,-62.5,983.8
203.0,78.1,983.8
93.7,-109.3,999.4
-62.5,-31.2,1061.9
-140.5,78.1,1015.0
46.8,0.0,952.6
156.2,140.5,921.3
203.0,-171.8,968.2
140.5,-156.2,1030.7
-15.6,171.8,1030.7
-218.6,-187.4,937.0
-62.5,15.6,937.0
93.7,93.7,890.1
187.4,-62.5,827.6
156.2,93.7,999.4
-46.8,-93.7,968.2
-93.7,-140.5,1093.1
-156.2,234.2,858.9
31.2,-15.6,1046.3
109.3,-62.5,937.0
187.4,140.5,983.8
62.5,-156.2,1015.0
-78.1,0.0,1124.4
-203.0,31.2,952.6
78.1,109.3,999.4
140.5,-31.2,1015.0
156.2,-46.8,1124.4
203.0,-203.0,1046.3
-15.6,15.6,1077.5
-265.5,-156.2,937.0
-46.8,-93.7,999.4
124.9,249.9,874.5
187.4,-124.9,905.7
156.2,-140.5,999.4
-62.5,46.8,983.8
-187.4,-140.5,1124.4
-156.2,15.6,874.5
31.2,124.9,983.8
281.1,-78.1,890.1
203.0,0.0,1015.0
-140.5,-140.5,921.3
-62.5,-140.5,1155.6
-62.5,187.4,921.3
-15.6,-62.5,983.8
93.7,-78.1,843.3
203.0,62.5,1077.5
171.8,-171.8,1077.5
-93.7,0.0,890.1
-218.6,0.0,1015.0
31.2,46.8,1030.7
78.1,46.8,999.4
234.2,-31.2,874.5
156.2,-62.5,1108.7
-78.1,-62.5,983.8
-78.1,-156.2,1124.4
-140.5,156.2,890.1
124.9,140.5,1015.0
218.6,-78.1,937.0
187.4,171.8,1015.0
-78.1,-140.5,983.8
-78.1,-156.2,1093.1
-93.7,156.2,968.2
-15.6,-62.5,1015.0
156.2,-124.9,858.9
156.2,109.3,1015.0
-15.6,-156.2,905.7
-46.8,-93.7,968.2
-140.5,249.9,937.0
15.6,-46.8,968.2
109.3,0.0,999.4
234.2,-62.5,983.8
156.2,-156.2,1061.9
-31.2,93.7,1015.0
-187.4,-171.8,983.8
-62.5,15.6,999.4
78.1,109.3,983.8
218.6,-46.8,874.5
140.5,-46.8,999.4
-109.3,-78.1,999.4
-93.7,-124.9,1093.1
-156.2,109.3,983.8
31.2,124.9,1015.0
203.0,-124.9,968.2
187.4,171.8,1061.9
15.6,-140.5,968.2
-124.9,-93.7,1140.0
-93.7,234.2,874.5
15.6,31.2,952.6
140.5,-93.7,921.3
124.9,0.0,968.2
171.8,-171.8,1046.3
0.0,109.3,968.2
-234.2,-93.7,968.2
-78.1,31.2,1015.0
156.2,156.2,1015.0
218.6,-171.8,890.1
140.5,-62.5,999.4
-15.6,-78.1,968.2
-93.7,-140.5,1108.7
-140.5,124.9,999.4
93.7,93.7,999.4
234.2,-109.3,905.7
156.2,46.8,1030.7
-46.8,-78.1,921.3
-62.5,-171.8,1108.7
-140.5,265.5,874.5
15.6,15.6,999.4
93.7,-62.5,874.5
171.8,0.0,999.4
171.8,-109.3,983.8
-15.6,93.7,999.4
-234.2,-62.5,937.0
-62.5,-15.6,1015.0
124.9,124.9,937.0
187.4,-46.8,921.3
109.3,-187.4,968.2
-109.3,-31.2,1046.3
-140.5,-171.8,1093.1
-140.5,-62.5,1015.0
109.3,140.5,921.3
218.6,-93.7,952.6
187.4,-124.9,999.4
-93.7,-78.1,937.0
-62.5,-124.9,1108.7
-124.9,46.8,874.5
31.2,0.0,983.8
156.2,-78.1,890.1
171.8,156.2,968.2
31.2,-156.2,1030.7
-62.5,-15.6,983.8
-187.4,93.7,983.8
31.2,62.5,1030.7
140.5,62.5,968.2
171.8,-109.3,983.8
171.8,-78.1,1030.7
31.2,-46.8,1140.0
-187.4,-109.3,1015.0
-124.9,-109.3,983.8
109.3,203.0,937.0
140.5,-109.3,905.7
187.4,-140.5,1030.7
-62.5,46.8,983.8
-203.0,-124.9,1015.0
-109.3,31.2,999.4
46.8,109.3,983.8
265.5,-109.3,905.7
156.2,78.1,1061.9
-109.3,-171.8,905.7
-46.8,-140.5,1218.0
-156.2,187.4,952.6
15.6,46.8,1030.7
124.9,-93.7,858.9
171.8,156.2,999.4
-15.6,-140.5,937.0
-93.7,-31.2,952.6
-171.8,171.8,983.8
31.2,78.1,1061.9
140.5,-31.2,952.6
